Record Id,Universities Owner.id,Universities Name,Universities Code,Vendor Name.id,Universities Active,Manufacturer,Universities Category,Sales Start Date,Sales End Date,Support Start Date,Support End Date,Created By.id,Modified By.id,Created Time,Modified Time,Unit Price,Commission Rate,Tax,Usage Unit,Qty Ordered,Quantity in Stock,Reorder Level,Handler.id,Quantity in Demand,Description,Taxable,Currency,Exchange Rate,Layout.id,Tag,Universities Image,Do they see financial docs before visa letter,Do they wish to see financial docs before offer,Do they ask for deposit before visa letter,Do they ask for deposit of conditional offer,City,Address,Country,State,Switchboard No,Post Code,AEC's Account Manager,Application Process Type,AEC's Account Manager Mobile,AEC's Account Manager Email,International Manager Phone,Contract valid till,International Manager Name,Accounts Executive Name (to claim commission),International Manager Email,Do they need SOP for applications,Accounts Executive Phone,Accounts Executive Email,Do they take an interview before releasing offer,Do they need LOR for every application,Any other useful contact,University Website,University Turnaround Time for decisions (in days),Do they take an interview before visa letter,Do they accept appointment of agent,Do they accept Change of Agent,Processed Through,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,THE World Ranking (Latest),QS World Ranking (Latest),National Ranking,Established In,Total International Students,Total number of students,Type of University,Application Fee,Do they issue Conditional Offers,Is Lateral Entry Allowed,Total Staff,On Campus Accommodation available,Latitude Longitude,Address 2,Please enter the details of scholarships available,Notable Alumni (just names and designation / role),Affiliations,Rankings - Miscellaneous,Number of Campus,Campus Size (in Acres),Location of Campus,Which Tier,Record Status,Locked
zcrm_3554776000000281099,zcrm_3554776000000178021,a,,,true,,,,,,,zcrm_3554776000000178021,zcrm_3554776000000178021,2018-10-19 17:07:31,2018-10-19 17:07:31,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,www.a.com,,,,,,,2019-08-11 00:01:32,,,,,,,,,,,,,,,,,,,,,,,,,Available,false
zcrm_3554776000000614103,zcrm_3554776000000575001,DIT University,,,true,,false,,,,,zcrm_3554776000000575001,zcrm_3554776000032513001,2018-11-20 14:56:25,2022-02-09 14:25:13,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,,,,,,Dehradun,,India,Uttarakhand,,,,,,,,,,,,,,,,,,www.dituniversity.edu.in,,,,,,2022-02-09 14:25:13,2021-01-05 22:28:08,,,,,,,,,,,,,,,,,,,,,,,Uttarakhand,Tier 3,Available,false
zcrm_3554776000000614104,zcrm_3554776000000575001,Apex Professional University,,,true,,false,,,,,zcrm_3554776000000575001,zcrm_3554776000032513001,2018-11-20 14:56:25,2021-06-30 14:15:04,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,,,,,,Pasighat,,India,,,,,,,,,,,,,,,,,,,http://apexuniversity.ac.in/,,,,,,2021-06-30 14:15:04,2019-03-06 22:23:37,,,,,,,,,Private,,,,,,,,,,,,,,Arunachal Pradesh,Tier 3,Available,false
zcrm_3554776000000614105,zcrm_3554776000000575001,"ICFAI University, Tripura",,,true,,false,,,,,zcrm_3554776000000575001,zcrm_3554776000076522006,2018-11-20 14:56:25,2021-07-04 08:00:51,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,,,,,,,,India,,,,,,,,,,,,,,,,,,,www.iutripura.edu.in,,,,,,2021-07-04 08:00:51,,,,,,,,,,,,,,,,,,,,,,,,"Agartala-Simna Road, P.O. Kamalghat, Mohanpur, Agartala, Tripura 799210",,Available,false
zcrm_3554776000000614106,zcrm_3554776000000575001,Arunachal University of Studies,,,true,,false,,,,,zcrm_3554776000000575001,zcrm_3554776000032513001,2018-11-20 14:56:25,2021-06-30 14:19:29,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,,,,,,Namsai,,India,,,,,,,,,,,,,,,,,,,http://www.arunachaluniversity.ac.in/,,,,,,2021-06-30 14:19:29,,,,,,,2012,,,Private,,,,,,,,,,,,,,Arunachal Pradesh,Tier 3,Available,false
zcrm_3554776000000614107,zcrm_3554776000000575001,Arunodaya University,,,true,,false,,,,,zcrm_3554776000000575001,zcrm_3554776000032513001,2018-11-20 14:56:25,2021-06-30 14:20:41,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,,,,,,Papum Pare,,India,,,,,,,,,,,,,,,,,,,http://arunodayauniversity.ac.in,,,,,,2021-06-30 14:20:41,,,,,,,,,,Private,,,,,,,,,,,,,,Arunachal Pradesh,Tier 3,Available,false
zcrm_3554776000000614108,zcrm_3554776000000575001,Amity University Noida,,,true,,false,,,,,zcrm_3554776000000575001,zcrm_3554776000032513001,2018-11-20 14:56:25,2022-01-22 15:52:34,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,,,,,,Noida,,India,Uttar Pradesh,,,,,,,,,,,,,,,,,,www.amity.edu,,,,,,2022-01-22 15:52:34,,,,,,,2005,,,Private,,,,,,,,,,,,,,Uttar Pradesh,Tier 2,Available,false
zcrm_3554776000000614109,zcrm_3554776000000575001,Himalayan University,,,true,,false,,,,,zcrm_3554776000000575001,zcrm_3554776000032513001,2018-11-20 14:56:25,2021-07-01 11:25:09,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,,,,,,Itanagar,,India,Arunachal Pradesh,,,,,,,,,,,,,,,,,,http://www.himalayanuniversity.com/,,,,,,2021-07-01 11:25:09,,,,,,,,,,,,,,,,,,,,,,,,Arunachal Pradesh,Tier 3,Available,false
zcrm_3554776000000614110,zcrm_3554776000000575001,ABV-Indian Institute of Information Technology & Management,,,true,,false,,,,,zcrm_3554776000000575001,zcrm_3554776000076522006,2018-11-20 14:56:25,2021-07-04 08:56:43,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,,,,,,Gwalior,,India,,,,,,,,,,,,,,,,,,,http://www.iiitm.ac.in/,,,,,,2021-07-04 08:56:43,,,,,,,,,,,,,,,,,,,,,,,,"Morena Link Rd, IIITM Campus, Gwalior, Madhya Pradesh 474015",,Available,false
zcrm_3554776000000614111,zcrm_3554776000000575001,Babu Banarasi Das University,,,true,,false,,,,,zcrm_3554776000000575001,zcrm_3554776000032513001,2018-11-20 14:56:25,2021-06-30 15:04:05,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,,,,,,Lucknow,,India,,,,,,,,,,,,,,,,,,,www.bbdu.ac.in,,,,,,2021-06-30 15:04:05,,,,,,,2010,,,Private,,,,,,,,,,,,,,Uttar Pradesh,Tier 3,Available,false
zcrm_3554776000000614112,zcrm_3554776000000575001,North East Frontier Technical University,,,true,,false,,,,,zcrm_3554776000000575001,zcrm_3554776000032513001,2018-11-20 14:56:25,2021-07-02 14:05:33,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,,,,,,Aalo,,India,Arunachal Pradesh,,,,,,,,,,,,,,,,,,http://www.neftu.edu.in/,,,,,,2021-07-02 14:05:33,,,,,,,,,,,,,,,,,,,,,,,,Arunachal Pradesh,Tier 3,Available,false
zcrm_3554776000000614113,zcrm_3554776000000575001,The Indira Gandhi Technological & Medical Sciences University,,,true,,false,,,,,zcrm_3554776000000575001,zcrm_3554776000076522006,2018-11-20 14:56:25,2021-07-02 08:52:31,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,,,,,,,,India,,,,,,,,,,,,,,,,,,,http://www.indiragandhiuniversity.in/,,,,,,2021-07-02 08:52:31,,,,,,,,,,,,,,,,,,,,,,,,"IGTAMSU SSB Gate Campus, Ziro, Lower Subansiri, Arunachal Pradesh, Ziro, Arunachal Pradesh 791120",,Available,false
zcrm_3554776000000614114,zcrm_3554776000000575001,GLA University,,,true,,false,,,,,zcrm_3554776000000575001,zcrm_3554776000032513001,2018-11-20 14:56:25,2022-01-21 15:47:43,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,,,,,,,,India,,,,,,,,,,,,,,,,,,,www.gla.ac.in,,,,,,2022-01-21 15:47:43,,,,,,,,,,,,,,,,,,,,,,,,"17km Stone, NH-2, Mathura-Delhi Road Mathura, Chaumuhan, Uttar Pradesh 281406",Tier 1,Available,false
zcrm_3554776000000614115,zcrm_3554776000000575001,Delete,,,true,,false,,,,,zcrm_3554776000000575001,zcrm_3554776000032513001,2018-11-20 14:56:25,2022-01-25 11:24:30,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,,,,,,Allahabad,,India,Uttar Pradesh,,,,,,,,,,,,,,,,,,http://www.shiats.edu.in/,,,,,,2022-01-25 11:24:30,,,,,,,,,,,,,,,,,,,,,,,,Uttar Pradesh,Tier 1,Available,false
zcrm_3554776000000614116,zcrm_3554776000000575001,Galgotias University,,,true,,false,,,,,zcrm_3554776000000575001,zcrm_3554776000032513001,2018-11-20 14:56:25,2021-07-01 10:30:11,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,,,,,,Noida,,India,Uttar Pradesh,,,,,,,,,,,,,,,,,,www.galgotiasuniversity.edu.in/,,,,,,2021-07-01 10:30:11,,,,,,,,,,,,,,,,,,,,,,,,Uttar Pradesh,Tier 3,Available,false
zcrm_3554776000000614117,zcrm_3554776000000575001,Venkateshwara Open University,,,true,,false,,,,,zcrm_3554776000000575001,zcrm_3554776000032513001,2018-11-20 14:56:25,2021-07-03 14:08:05,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,,,,,,Itanagar,,India,Arunachal Pradesh,,,,,,,,,,,,,,,,,,http://www.vou.ac.in/,,,,,,2021-07-03 14:08:05,,,,,,,,,,,,,,,,,,,,,,,,"Lekhi Village, Naharlagun, Distt. Papum Pare, Arunachal Pradesh-791110",Tier 3,Available,false
zcrm_3554776000000614118,zcrm_3554776000000575001,Academy of Maritime Education and Training (AMET),,,true,,false,,,,,zcrm_3554776000000575001,zcrm_3554776000032513001,2018-11-20 14:56:25,2022-01-22 15:46:28,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,,,,,,,,India,,,,,,,,,,,,,,,,,,,http://www.ametuniv.ac.in/,,,,,,2022-01-22 15:46:28,,,,,,,,,,Private,,,,,,,,,,,,,,CHENNAI,Tier 2,Available,false
zcrm_3554776000000614119,zcrm_3554776000000575001,Assam Don Bosco University,,,true,,false,,,,,zcrm_3554776000000575001,zcrm_3554776000032513001,2018-11-20 14:56:25,2022-01-22 16:06:57,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,,,,,,Guwahati,,India,Assam,,,,,,,,,,,,,,,,,,http://www.dbuniversity.ac.in/,,,,,,2022-01-22 16:06:57,,,,,,,,,,Private,,,,,,,,,,,,,,Assam,Tier 2,Available,false
zcrm_3554776000000614120,zcrm_3554776000000575001,Assam Down Town University,,,true,,false,,,,,zcrm_3554776000000575001,zcrm_3554776000032513001,2018-11-20 14:56:25,2021-06-30 14:29:04,0.0,0.0,,,0.0,0.0,0.0,,0.0,,true,,,zcrm_3554776000000091009,,,,,,,Assam,,India,,,,,,,,,,,,,,,,,,,http://www.adtu.in/,,,,,,2021-06-30 14:29:04,,,,,,,,,,Private,,,,,,,,,,,,,,Assam,Tier 3,Available,false
